Word,Frequency,Known
insulin,743,False
weight,667,True
obesity,595,False
fat,490,True
food,457,True
diet,441,False
eat,401,True
body,355,True
increase,346,True
sugar,331,True
calorie,326,False
study,315,True
cause,309,True
high,299,True
level,292,True
percent,258,False
resistance,237,True
carbohydrate,233,False
gain,225,True
effect,220,True
diabetes,213,False
dietary,208,False
fast,207,True
energy,205,True
day,201,True
also,195,True
glucose,190,False
disease,189,True
may,187,True
loss,182,True
reduce,179,True
blood,176,True
time,175,True
intake,171,False
one,169,True
low,164,True
heart,158,True
use,157,True
make,146,True
health,142,True
exercise,130,True
year,130,True
caloric,127,False
type,126,True
meal,121,True
even,120,True
consumption,120,False
protein,119,False
result,118,True
fiber,116,False
patient,110,True
much,110,True
lead,110,True
fasting,109,False
group,109,True
however,108,True
many,107,True
two,106,True
would,102,True
dr.,101,True
human,101,True
decrease,100,False
apr,100,False
hormone,99,False
change,99,True
new,98,True
people,97,True
per,97,True
control,96,True
see,93,True
risk,93,True
good,92,True
process,92,True
clin,92,False
available,91,True
healthy,90,True
american,90,True
become,89,True
problem,89,True
find,89,True
drink,89,True
lose,88,True
nutr,88,False
expenditure,87,True
cortisol,86,False
index,85,False
since,85,True
total,84,True
often,83,True
first,82,True
take,82,True
obese,82,False
less,82,True
response,81,True
show,80,True
amount,80,True
hormonal,78,False
pound,78,True
contain,78,True
key,76,True
long,76,True
factor,76,False
breakfast,76,True
sleep,75,True
association,75,False
rate,75,True
water,75,True
set,74,True
fructose,73,False
state,73,True
accessed,73,False
get,72,True
reduction,72,False
med,72,False
metabolic,71,True
woman,70,True
vegetable,70,False
tea,70,True
glycemic,70,False
chapter,69,True
start,68,True
treatment,68,True
metabolism,68,False
instead,66,True
activity,66,True
follow,66,True
raise,65,True
work,64,True
include,64,True
large,64,True
oil,63,True
try,62,True
consider,62,True
acid,61,True
know,60,True
low-fat,60,False
kilogram,60,False
refine,60,False
average,60,True
subject,60,True
theory,59,True
liver,59,False
great,58,True
develop,58,True
help,58,True
fact,58,True
store,58,True
daily,58,True
child,58,True
need,57,True
